item,year,gsdp,state
Storage,2014-15,18700,Andhra_Pradesh
Storage,2015-16,19000,Andhra_Pradesh
Storage,2016-17,20600,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,540200,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,621430,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,796043,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,928756,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,1093530,Andhra_Pradesh
Communication & services related to broadcasting,2016-17,1329645,Andhra_Pradesh
Financial services,2011-12,1425608,Andhra_Pradesh
Financial services,2012-13,1584297,Andhra_Pradesh
Financial services,2013-14,1710463,Andhra_Pradesh
Financial services,2014-15,1900863,Andhra_Pradesh
Financial services,2015-16,2125508,Andhra_Pradesh
Financial services,2016-17,2415390,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,2833805,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,3434098,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,3897345,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,4405409,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,5092310,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2016-17,5942431,Andhra_Pradesh
Public administration,2011-12,1393752,Andhra_Pradesh
Public administration,2012-13,1552379,Andhra_Pradesh
Public administration,2013-14,1738971,Andhra_Pradesh
Public administration,2014-15,2200897,Andhra_Pradesh
Public administration,2015-16,2594904,Andhra_Pradesh
Public administration,2016-17,3039676,Andhra_Pradesh
Other services,2011-12,2730376,Andhra_Pradesh
Other services,2012-13,3063920,Andhra_Pradesh
Other services,2013-14,3538298,Andhra_Pradesh
Other services,2014-15,4215389,Andhra_Pradesh
Other services,2015-16,5248604,Andhra_Pradesh
Other services,2016-17,6180240,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,455505,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,545406,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,603944,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,686117,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,744726,Andhra_Pradesh
Crops,2011-12,255815,Andhra_Pradesh
Crops,2012-13,331962,Andhra_Pradesh
Crops,2013-14,360344,Andhra_Pradesh
Crops,2014-15,415520,Andhra_Pradesh
Crops,2015-16,431318,Andhra_Pradesh
Livestock,2011-12,29657,Andhra_Pradesh
Livestock,2012-13,24249,Andhra_Pradesh
Livestock,2013-14,34027,Andhra_Pradesh
Livestock,2014-15,38387,Andhra_Pradesh
Livestock,2015-16,44386,Andhra_Pradesh
Forestry and logging,2011-12,165510,Andhra_Pradesh
Forestry and logging,2012-13,183780,Andhra_Pradesh
Forestry and logging,2013-14,204038,Andhra_Pradesh
Forestry and logging,2014-15,224017,Andhra_Pradesh
Forestry and logging,2015-16,258676,Andhra_Pradesh
Fishing and aquaculture,2011-12,4523,Andhra_Pradesh
Fishing and aquaculture,2012-13,5415,Andhra_Pradesh
Fishing and aquaculture,2013-14,5535,Andhra_Pradesh
Fishing and aquaculture,2014-15,8193,Andhra_Pradesh
Fishing and aquaculture,2015-16,10346,Andhra_Pradesh
Mining and quarrying,2011-12,23022,Andhra_Pradesh
Mining and quarrying,2012-13,35024,Andhra_Pradesh
Mining and quarrying,2013-14,43616,Andhra_Pradesh
Mining and quarrying,2014-15,30842,Andhra_Pradesh
Mining and quarrying,2015-16,38068,Andhra_Pradesh
Manufacturing,2011-12,12900,Andhra_Pradesh
Manufacturing,2012-13,14827,Andhra_Pradesh
Manufacturing,2013-14,19714,Andhra_Pradesh
Manufacturing,2014-15,26120,Andhra_Pradesh
Manufacturing,2015-16,37743,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,69131,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,78766,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,89594,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,113527,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,139187,Andhra_Pradesh
Construction,2011-12,104529,Andhra_Pradesh
Construction,2012-13,107821,Andhra_Pradesh
Construction,2013-14,124594,Andhra_Pradesh
Construction,2014-15,147842,Andhra_Pradesh
Construction,2015-16,161705,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,59892,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,50878,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,70494,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,60421,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,65846,Andhra_Pradesh
Trade & repair services,2011-12,56921,Andhra_Pradesh
Trade & repair services,2012-13,47880,Andhra_Pradesh
Trade & repair services,2013-14,67273,Andhra_Pradesh
Trade & repair services,2014-15,56796,Andhra_Pradesh
Trade & repair services,2015-16,62044,Andhra_Pradesh
Hotels & restaurants,2011-12,2971,Andhra_Pradesh
Hotels & restaurants,2012-13,2998,Andhra_Pradesh
Hotels & restaurants,2013-14,3221,Andhra_Pradesh
Hotels & restaurants,2014-15,3625,Andhra_Pradesh
Hotels & restaurants,2015-16,3802,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,23420,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,27306,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,33414,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,35203,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,42833,Andhra_Pradesh
Railways,2011-12,30,Andhra_Pradesh
Railways,2012-13,34,Andhra_Pradesh
Railways,2013-14,47,Andhra_Pradesh
Railways,2014-15,59,Andhra_Pradesh
Railways,2015-16,65,Andhra_Pradesh
Road transport,2011-12,12382,Andhra_Pradesh
Road transport,2012-13,13618,Andhra_Pradesh
Road transport,2013-14,16059,Andhra_Pradesh
Road transport,2014-15,15467,Andhra_Pradesh
Road transport,2015-16,20413,Andhra_Pradesh
Water transport,2011-12,0,Andhra_Pradesh
Water transport,2012-13,0,Andhra_Pradesh
Water transport,2013-14,0,Andhra_Pradesh
Water transport,2014-15,0,Andhra_Pradesh
Water transport,2015-16,0,Andhra_Pradesh
Air transport,2011-12,0,Andhra_Pradesh
Air transport,2012-13,0,Andhra_Pradesh
Air transport,2013-14,0,Andhra_Pradesh
Air transport,2014-15,0,Andhra_Pradesh
Air transport,2015-16,0,Andhra_Pradesh
Services incidental to transport,2011-12,78,Andhra_Pradesh
Services incidental to transport,2012-13,89,Andhra_Pradesh
Services incidental to transport,2013-14,100,Andhra_Pradesh
Services incidental to transport,2014-15,109,Andhra_Pradesh
Services incidental to transport,2015-16,121,Andhra_Pradesh
Storage,2011-12,0,Andhra_Pradesh
Storage,2012-13,0,Andhra_Pradesh
Storage,2013-14,0,Andhra_Pradesh
Storage,2014-15,0,Andhra_Pradesh
Storage,2015-16,0,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,10930,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,13565,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,17208,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,19568,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,22234,Andhra_Pradesh
Financial services,2011-12,20884,Andhra_Pradesh
Financial services,2012-13,21562,Andhra_Pradesh
Financial services,2013-14,23571,Andhra_Pradesh
Financial services,2014-15,25207,Andhra_Pradesh
Financial services,2015-16,27548,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,38261,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,41869,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,44949,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,48418,Andhra_Pradesh
