item,year,gsdp,state
Construction,2014-15,5526017,Andhra_Pradesh
Construction,2015-16,5968098,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,6646396,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,8457461,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,8991796,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,10178713,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,10697827,Andhra_Pradesh
Trade & repair services,2011-12,6646396,Andhra_Pradesh
Trade & repair services,2012-13,8457461,Andhra_Pradesh
Trade & repair services,2013-14,8991796,Andhra_Pradesh
Trade & repair services,2014-15,10178713,Andhra_Pradesh
Trade & repair services,2015-16,10697827,Andhra_Pradesh
Hotels & restaurants,2011-12,NA,Andhra_Pradesh
Hotels & restaurants,2012-13,NA,Andhra_Pradesh
Hotels & restaurants,2013-14,NA,Andhra_Pradesh
Hotels & restaurants,2014-15,NA,Andhra_Pradesh
Hotels & restaurants,2015-16,NA,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,3253230,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,3715274,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,4015345,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,4555910,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,5105238,Andhra_Pradesh
Railways,2011-12,328792,Andhra_Pradesh
Railways,2012-13,363157,Andhra_Pradesh
Railways,2013-14,384751,Andhra_Pradesh
Railways,2014-15,511593,Andhra_Pradesh
Railways,2015-16,596006,Andhra_Pradesh
Road transport,2011-12,NA,Andhra_Pradesh
Road transport,2012-13,NA,Andhra_Pradesh
Road transport,2013-14,NA,Andhra_Pradesh
Road transport,2014-15,NA,Andhra_Pradesh
Road transport,2015-16,NA,Andhra_Pradesh
Water transport,2011-12,NA,Andhra_Pradesh
Water transport,2012-13,NA,Andhra_Pradesh
Water transport,2013-14,NA,Andhra_Pradesh
Water transport,2014-15,NA,Andhra_Pradesh
Water transport,2015-16,NA,Andhra_Pradesh
Air transport,2011-12,NA,Andhra_Pradesh
Air transport,2012-13,NA,Andhra_Pradesh
Air transport,2013-14,NA,Andhra_Pradesh
Air transport,2014-15,NA,Andhra_Pradesh
Air transport,2015-16,NA,Andhra_Pradesh
Services incidental to transport*,2011-12,2126306,Andhra_Pradesh
Services incidental to transport*,2012-13,2434819,Andhra_Pradesh
Services incidental to transport*,2013-14,2485294,Andhra_Pradesh
Services incidental to transport*,2014-15,2744163,Andhra_Pradesh
Services incidental to transport*,2015-16,3051509,Andhra_Pradesh
Storage,2011-12,36202,Andhra_Pradesh
Storage,2012-13,40557,Andhra_Pradesh
Storage,2013-14,46042,Andhra_Pradesh
Storage,2014-15,57634,Andhra_Pradesh
Storage,2015-16,66101,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,761929,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,876741,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,1099258,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,1242520,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,1391622,Andhra_Pradesh
Financial services,2011-12,2942743,Andhra_Pradesh
Financial services,2012-13,3461652,Andhra_Pradesh
Financial services,2013-14,4116751,Andhra_Pradesh
Financial services,2014-15,4606644,Andhra_Pradesh
Financial services,2015-16,5210114,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,3481417,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,3969395,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,4564674,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,5179502,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,5916201,Andhra_Pradesh
Public administration,2011-12,1917276,Andhra_Pradesh
Public administration,2012-13,2184966,Andhra_Pradesh
Public administration,2013-14,2373071,Andhra_Pradesh
Public administration,2014-15,2576195,Andhra_Pradesh
Public administration,2015-16,2887915,Andhra_Pradesh
Other services,2011-12,2022268,Andhra_Pradesh
Other services,2012-13,2419178,Andhra_Pradesh
Other services,2013-14,2739442,Andhra_Pradesh
Other services,2014-15,3123413,Andhra_Pradesh
Other services,2015-16,3628248,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,6453886,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,7150666,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,7929914,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,8015238,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,8396709,Andhra_Pradesh
"Agriculture, forestry and fishing",2016-17,9466087,Andhra_Pradesh
Crops,2011-12,4088737,Andhra_Pradesh
Crops,2012-13,4457601,Andhra_Pradesh
Crops,2013-14,4951547,Andhra_Pradesh
Crops,2014-15,4636731,Andhra_Pradesh
Crops,2015-16,4727367,Andhra_Pradesh
Crops,2016-17,5469577,Andhra_Pradesh
Livestock,2011-12,1889817,Andhra_Pradesh
Livestock,2012-13,2160183,Andhra_Pradesh
Livestock,2013-14,2483010,Andhra_Pradesh
Livestock,2014-15,2916173,Andhra_Pradesh
Livestock,2015-16,3225085,Andhra_Pradesh
Livestock,2016-17,3524563,Andhra_Pradesh
Forestry and logging,2011-12,389490,Andhra_Pradesh
Forestry and logging,2012-13,432560,Andhra_Pradesh
Forestry and logging,2013-14,400345,Andhra_Pradesh
Forestry and logging,2014-15,352254,Andhra_Pradesh
Forestry and logging,2015-16,356483,Andhra_Pradesh
Forestry and logging,2016-17,347491,Andhra_Pradesh
Fishing and aquaculture,2011-12,85843,Andhra_Pradesh
Fishing and aquaculture,2012-13,100322,Andhra_Pradesh
Fishing and aquaculture,2013-14,95012,Andhra_Pradesh
Fishing and aquaculture,2014-15,110080,Andhra_Pradesh
Fishing and aquaculture,2015-16,87774,Andhra_Pradesh
Fishing and aquaculture,2016-17,124457,Andhra_Pradesh
Mining and quarrying,2011-12,11882,Andhra_Pradesh
Mining and quarrying,2012-13,10013,Andhra_Pradesh
Mining and quarrying,2013-14,30643,Andhra_Pradesh
Mining and quarrying,2014-15,25186,Andhra_Pradesh
Mining and quarrying,2015-16,47743,Andhra_Pradesh
Mining and quarrying,2016-17,95975,Andhra_Pradesh
Manufacturing,2011-12,5328609,Andhra_Pradesh
Manufacturing,2012-13,6663757,Andhra_Pradesh
Manufacturing,2013-14,7386437,Andhra_Pradesh
Manufacturing,2014-15,7756921,Andhra_Pradesh
Manufacturing,2015-16,8487531,Andhra_Pradesh
Manufacturing,2016-17,9098633,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,344604,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,647542,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,990052,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,1101919,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,1436434,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2016-17,1771999,Andhra_Pradesh
Construction,2011-12,2975966,Andhra_Pradesh
Construction,2012-13,3042391,Andhra_Pradesh
Construction,2013-14,3571936,Andhra_Pradesh
Construction,2014-15,3702571,Andhra_Pradesh
Construction,2015-16,3930821,Andhra_Pradesh
Construction,2016-17,4232315,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,3310742,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,3881872,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,4337016,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,4986319,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,5500429,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2016-17,6173305,Andhra_Pradesh
Trade & repair services,2011-12,3191526,Andhra_Pradesh
Trade & repair services,2012-13,3750911,Andhra_Pradesh
Trade & repair services,2013-14,4195470,Andhra_Pradesh
Trade & repair services,2014-15,4817784,Andhra_Pradesh
Trade & repair services,2015-16,5307508,Andhra_Pradesh
Trade & repair services,2016-17,5951557,Andhra_Pradesh
Hotels & restaurants,2011-12,119216,Andhra_Pradesh
Hotels & restaurants,2012-13,130961,Andhra_Pradesh
Hotels & restaurants,2013-14,141546,Andhra_Pradesh
Hotels & restaurants,2014-15,168535,Andhra_Pradesh
Hotels & restaurants,2015-16,192922,Andhra_Pradesh
Hotels & restaurants,2016-17,221748,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,1727689,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,1965560,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,2226172,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,2560623,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,2859546,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2016-17,3201201,Andhra_Pradesh
Railways,2011-12,268949,Andhra_Pradesh
Railways,2012-13,333924,Andhra_Pradesh
Railways,2013-14,349621,Andhra_Pradesh
Railways,2014-15,423873,Andhra_Pradesh
Railways,2015-16,473961,Andhra_Pradesh
Railways,2016-17,533680,Andhra_Pradesh
Road transport,2011-12,1004452,Andhra_Pradesh
Road transport,2012-13,1137035,Andhra_Pradesh
Road transport,2013-14,1283657,Andhra_Pradesh
Road transport,2014-15,1452364,Andhra_Pradesh
Road transport,2015-16,1595178,Andhra_Pradesh
Road transport,2016-17,1745342,Andhra_Pradesh
Water transport,2011-12,NA,Andhra_Pradesh
Water transport,2012-13,NA,Andhra_Pradesh
Water transport,2013-14,NA,Andhra_Pradesh
Water transport,2014-15,NA,Andhra_Pradesh
Water transport,2015-16,NA,Andhra_Pradesh
Water transport,2016-17,NA,Andhra_Pradesh
Air transport,2011-12,NA,Andhra_Pradesh
Air transport,2012-13,NA,Andhra_Pradesh
Air transport,2013-14,NA,Andhra_Pradesh
Air transport,2014-15,NA,Andhra_Pradesh
Air transport,2015-16,NA,Andhra_Pradesh
Air transport,2016-17,NA,Andhra_Pradesh
Services incidental to transport,2011-12,139222,Andhra_Pradesh
Services incidental to transport,2012-13,156962,Andhra_Pradesh
Services incidental to transport,2013-14,163774,Andhra_Pradesh
Services incidental to transport,2014-15,190269,Andhra_Pradesh
Services incidental to transport,2015-16,211159,Andhra_Pradesh
Services incidental to transport,2016-17,234366,Andhra_Pradesh
Storage,2011-12,11955,Andhra_Pradesh
Storage,2012-13,16530,Andhra_Pradesh
Storage,2013-14,14378,Andhra_Pradesh
Storage,2014-15,14459,Andhra_Pradesh
Storage,2015-16,11646,Andhra_Pradesh
Storage,2016-17,11876,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,303112,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,321109,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,414741,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,479658,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,567602,Andhra_Pradesh
Communication & services related to broadcasting,2016-17,675936,Andhra_Pradesh
Financial services,2011-12,1165659,Andhra_Pradesh
Financial services,2012-13,1321389,Andhra_Pradesh
Financial services,2013-14,1483809,Andhra_Pradesh
Financial services,2014-15,1671486,Andhra_Pradesh
Financial services,2015-16,1811965,Andhra_Pradesh
Financial services,2016-17,2002221,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,4092800,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,5007987,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,6262214,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,6970183,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,7855396,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2016-17,8970862,Andhra_Pradesh
Public administration,2011-12,729814,Andhra_Pradesh
Public administration,2012-13,822186,Andhra_Pradesh
Public administration,2013-14,885660,Andhra_Pradesh
Public administration,2014-15,1036377,Andhra_Pradesh
Public administration,2015-16,1154920,Andhra_Pradesh
Public administration,2016-17,1363217,Andhra_Pradesh
Other services,2011-12,1265812,Andhra_Pradesh
Other services,2012-13,1476085,Andhra_Pradesh
Other services,2013-14,1652825,Andhra_Pradesh
Other services,2014-15,2001581,Andhra_Pradesh
Other services,2015-16,2328010,Andhra_Pradesh
Other services,2016-17,2753390,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,1162626,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,1313711,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,1497802,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,1514981,Andhra_Pradesh
Crops,2011-12,673402,Andhra_Pradesh
Crops,2012-13,814909,Andhra_Pradesh
Crops,2013-14,938019,Andhra_Pradesh
Crops,2014-15,853758,Andhra_Pradesh
Livestock,2011-12,115315,Andhra_Pradesh
Livestock,2012-13,109697,Andhra_Pradesh
Livestock,2013-14,108442,Andhra_Pradesh
Livestock,2014-15,110304,Andhra_Pradesh
Forestry and logging,2011-12,368735,Andhra_Pradesh
Forestry and logging,2012-13,383150,Andhra_Pradesh
Forestry and logging,2013-14,443092,Andhra_Pradesh
Forestry and logging,2014-15,540950,Andhra_Pradesh
Fishing and aquaculture,2011-12,5175,Andhra_Pradesh
Fishing and aquaculture,2012-13,5956,Andhra_Pradesh
Fishing and aquaculture,2013-14,8249,Andhra_Pradesh
Fishing and aquaculture,2014-15,9968,Andhra_Pradesh
Mining and quarrying,2011-12,28640,Andhra_Pradesh
Mining and quarrying,2012-13,30544,Andhra_Pradesh
Mining and quarrying,2013-14,28476,Andhra_Pradesh
Mining and quarrying,2014-15,33385,Andhra_Pradesh
Manufacturing,2011-12,1799826,Andhra_Pradesh
Manufacturing,2012-13,2063113,Andhra_Pradesh
Manufacturing,2013-14,2355433,Andhra_Pradesh
Manufacturing,2014-15,2543637,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,602408,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,619270,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,713480,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,767268,Andhra_Pradesh
Construction,2011-12,638216,Andhra_Pradesh
Construction,2012-13,711075,Andhra_Pradesh
Construction,2013-14,775084,Andhra_Pradesh
Construction,2014-15,808256,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,456829,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,513988,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,583016,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,615496,Andhra_Pradesh
Trade & repair services,2011-12,357260,Andhra_Pradesh
Trade & repair services,2012-13,407784,Andhra_Pradesh
Trade & repair services,2013-14,473098,Andhra_Pradesh
Trade & repair services,2014-15,494162,Andhra_Pradesh
Hotels & restaurants,2011-12,99569,Andhra_Pradesh
Hotels & restaurants,2012-13,106203,Andhra_Pradesh
Hotels & restaurants,2013-14,109918,Andhra_Pradesh
Hotels & restaurants,2014-15,121333,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,300837,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,351968,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,445448,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,552234,Andhra_Pradesh
Railways,2011-12,1720,Andhra_Pradesh
Railways,2012-13,1919,Andhra_Pradesh
Railways,2013-14,2309,Andhra_Pradesh
Railways,2014-15,2528,Andhra_Pradesh
Road transport,2011-12,169771,Andhra_Pradesh
Road transport,2012-13,212617,Andhra_Pradesh
Road transport,2013-14,273314,Andhra_Pradesh
Road transport,2014-15,349608,Andhra_Pradesh
Water transport,2011-12,0,Andhra_Pradesh
Water transport,2012-13,0,Andhra_Pradesh
Water transport,2013-14,0,Andhra_Pradesh
Water transport,2014-15,0,Andhra_Pradesh
Air transport,2011-12,898,Andhra_Pradesh
Air transport,2012-13,1670,Andhra_Pradesh
Air transport,2013-14,1452,Andhra_Pradesh
Air transport,2014-15,3979,Andhra_Pradesh
Services incidental to transport,2011-12,814,Andhra_Pradesh
Services incidental to transport,2012-13,1024,Andhra_Pradesh
Services incidental to transport,2013-14,1334,Andhra_Pradesh
Services incidental to transport,2014-15,1724,Andhra_Pradesh
Storage,2011-12,163,Andhra_Pradesh
Storage,2012-13,181,Andhra_Pradesh
Storage,2013-14,120,Andhra_Pradesh
Storage,2014-15,129,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,127471,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,134557,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,166919,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,194266,Andhra_Pradesh
Financial services,2011-12,287346,Andhra_Pradesh
Financial services,2012-13,318473,Andhra_Pradesh
Financial services,2013-14,332560,Andhra_Pradesh
Financial services,2014-15,362521,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,674894,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,816170,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,967576,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,1125937,Andhra_Pradesh
Public administration,2011-12,375875,Andhra_Pradesh
Public administration,2012-13,437936,Andhra_Pradesh
Public administration,2013-14,468316,Andhra_Pradesh
Public administration,2014-15,553974,Andhra_Pradesh
Other services,2011-12,612783,Andhra_Pradesh
Other services,2012-13,714593,Andhra_Pradesh
Other services,2013-14,768581,Andhra_Pradesh
Other services,2014-15,923164,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,2233546,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,2550211,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,2844215,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,3211065,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,3632150,Andhra_Pradesh
Crops,2011-12,1342099,Andhra_Pradesh
Crops,2012-13,1611776,Andhra_Pradesh
Crops,2013-14,1812103,Andhra_Pradesh
Crops,2014-15,2094466,Andhra_Pradesh
Crops,2015-16,2431179,Andhra_Pradesh
Livestock,2011-12,477585,Andhra_Pradesh
Livestock,2012-13,459416,Andhra_Pradesh
Livestock,2013-14,493408,Andhra_Pradesh
Livestock,2014-15,562503,Andhra_Pradesh
Livestock,2015-16,594001,Andhra_Pradesh
Forestry and logging,2011-12,357560,Andhra_Pradesh
Forestry and logging,2012-13,399912,Andhra_Pradesh
Forestry and logging,2013-14,438916,Andhra_Pradesh
Forestry and logging,2014-15,445149,Andhra_Pradesh
Forestry and logging,2015-16,478733,Andhra_Pradesh
Fishing and aquaculture,2011-12,56302,Andhra_Pradesh
Fishing and aquaculture,2012-13,79107,Andhra_Pradesh
Fishing and aquaculture,2013-14,99788,Andhra_Pradesh
Fishing and aquaculture,2014-15,108947,Andhra_Pradesh
Fishing and aquaculture,2015-16,128237,Andhra_Pradesh
Mining and quarrying,2011-12,1620374,Andhra_Pradesh
Mining and quarrying,2012-13,1879069,Andhra_Pradesh
Mining and quarrying,2013-14,1858615,Andhra_Pradesh
Mining and quarrying,2014-15,2037289,Andhra_Pradesh
Mining and quarrying,2015-16,2199381,Andhra_Pradesh
Manufacturing,2011-12,3016583,Andhra_Pradesh
Manufacturing,2012-13,3797607,Andhra_Pradesh
Manufacturing,2013-14,3660373,Andhra_Pradesh
Manufacturing,2014-15,4114148,Andhra_Pradesh
Manufacturing,2015-16,4569985,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,241235,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,302773,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,335541,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,337489,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,379501,Andhra_Pradesh
Construction,2011-12,1439526,Andhra_Pradesh
Construction,2012-13,1455717,Andhra_Pradesh
Construction,2013-14,1699296,Andhra_Pradesh
Construction,2014-15,1789834,Andhra_Pradesh
Construction,2015-16,1927075,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,1152143,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,1383070,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,1595751,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,1991359,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,2387496,Andhra_Pradesh
Trade & repair services,2011-12,1065983,Andhra_Pradesh
Trade & repair services,2012-13,1272474,Andhra_Pradesh
Trade & repair services,2013-14,1479141,Andhra_Pradesh
Trade & repair services,2014-15,1840196,Andhra_Pradesh
Trade & repair services,2015-16,2204400,Andhra_Pradesh
Hotels & restaurants,2011-12,86160,Andhra_Pradesh
Hotels & restaurants,2012-13,110596,Andhra_Pradesh
Hotels & restaurants,2013-14,116610,Andhra_Pradesh
Hotels & restaurants,2014-15,151163,Andhra_Pradesh
Hotels & restaurants,2015-16,183096,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2011-12,975954,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2012-13,1148809,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2013-14,1325607,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2014-15,1470022,Andhra_Pradesh
"Transport, storage, communication & services related to broadcasting",2015-16,1690746,Andhra_Pradesh
Railways,2011-12,297906,Andhra_Pradesh
Railways,2012-13,362089,Andhra_Pradesh
Railways,2013-14,404019,Andhra_Pradesh
Railways,2014-15,472702,Andhra_Pradesh
Railways,2015-16,551345,Andhra_Pradesh
Road transport,2011-12,458247,Andhra_Pradesh
Road transport,2012-13,530804,Andhra_Pradesh
Road transport,2013-14,608092,Andhra_Pradesh
Road transport,2014-15,649648,Andhra_Pradesh
Road transport,2015-16,729492,Andhra_Pradesh
Water transport,2011-12,0,Andhra_Pradesh
Water transport,2012-13,NA,Andhra_Pradesh
Water transport,2013-14,0,Andhra_Pradesh
Water transport,2014-15,0,Andhra_Pradesh
Water transport,2015-16,0,Andhra_Pradesh
Air transport,2011-12,1373,Andhra_Pradesh
Air transport,2012-13,2448,Andhra_Pradesh
Air transport,2013-14,3362,Andhra_Pradesh
Air transport,2014-15,6716,Andhra_Pradesh
Air transport,2015-16,11455,Andhra_Pradesh
Services incidental to transport,2011-12,22315,Andhra_Pradesh
Services incidental to transport,2012-13,26547,Andhra_Pradesh
Services incidental to transport,2013-14,27554,Andhra_Pradesh
Services incidental to transport,2014-15,17436,Andhra_Pradesh
Services incidental to transport,2015-16,16136,Andhra_Pradesh
Storage,2011-12,384,Andhra_Pradesh
Storage,2012-13,388,Andhra_Pradesh
Storage,2013-14,378,Andhra_Pradesh
Storage,2014-15,306,Andhra_Pradesh
Storage,2015-16,284,Andhra_Pradesh
Communication & services related to broadcasting,2011-12,195729,Andhra_Pradesh
Communication & services related to broadcasting,2012-13,226533,Andhra_Pradesh
Communication & services related to broadcasting,2013-14,282202,Andhra_Pradesh
Communication & services related to broadcasting,2014-15,323214,Andhra_Pradesh
Communication & services related to broadcasting,2015-16,382034,Andhra_Pradesh
Financial services,2011-12,414386,Andhra_Pradesh
Financial services,2012-13,462493,Andhra_Pradesh
Financial services,2013-14,509609,Andhra_Pradesh
Financial services,2014-15,551441,Andhra_Pradesh
Financial services,2015-16,606546,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2011-12,1101151,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2012-13,1290003,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2013-14,1450196,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2014-15,1656784,Andhra_Pradesh
"Real estate, ownership of dwelling & professional services",2015-16,1898288,Andhra_Pradesh
Public administration,2011-12,981782,Andhra_Pradesh
Public administration,2012-13,927373,Andhra_Pradesh
Public administration,2013-14,928783,Andhra_Pradesh
Public administration,2014-15,1088325,Andhra_Pradesh
Public administration,2015-16,1126349,Andhra_Pradesh
Other services,2011-12,736279,Andhra_Pradesh
Other services,2012-13,885544,Andhra_Pradesh
Other services,2013-14,1045235,Andhra_Pradesh
Other services,2014-15,1375410,Andhra_Pradesh
Other services,2015-16,1690431,Andhra_Pradesh
"Agriculture, forestry and fishing",2011-12,7554868,Andhra_Pradesh
"Agriculture, forestry and fishing",2012-13,8180610,Andhra_Pradesh
"Agriculture, forestry and fishing",2013-14,9670052,Andhra_Pradesh
"Agriculture, forestry and fishing",2014-15,11219422,Andhra_Pradesh
"Agriculture, forestry and fishing",2015-16,10806128,Andhra_Pradesh
Crops,2011-12,5339455,Andhra_Pradesh
Crops,2012-13,5749544,Andhra_Pradesh
Crops,2013-14,6992419,Andhra_Pradesh
Crops,2014-15,8157179,Andhra_Pradesh
Crops,2015-16,7517661,Andhra_Pradesh
Livestock,2011-12,1349662,Andhra_Pradesh
Livestock,2012-13,1506993,Andhra_Pradesh
Livestock,2013-14,1634066,Andhra_Pradesh
Livestock,2014-15,1868771,Andhra_Pradesh
Livestock,2015-16,2117661,Andhra_Pradesh
Forestry and logging,2011-12,593458,Andhra_Pradesh
Forestry and logging,2012-13,604866,Andhra_Pradesh
Forestry and logging,2013-14,658629,Andhra_Pradesh
Forestry and logging,2014-15,693082,Andhra_Pradesh
Forestry and logging,2015-16,720704,Andhra_Pradesh
Fishing and aquaculture,2011-12,272293,Andhra_Pradesh
Fishing and aquaculture,2012-13,319207,Andhra_Pradesh
Fishing and aquaculture,2013-14,384938,Andhra_Pradesh
Fishing and aquaculture,2014-15,500390,Andhra_Pradesh
Fishing and aquaculture,2015-16,450102,Andhra_Pradesh
Mining and quarrying,2011-12,450254,Andhra_Pradesh
Mining and quarrying,2012-13,407345,Andhra_Pradesh
Mining and quarrying,2013-14,617181,Andhra_Pradesh
Mining and quarrying,2014-15,846882,Andhra_Pradesh
Mining and quarrying,2015-16,413803,Andhra_Pradesh
Manufacturing,2011-12,9713888,Andhra_Pradesh
Manufacturing,2012-13,10850509,Andhra_Pradesh
Manufacturing,2013-14,11794288,Andhra_Pradesh
Manufacturing,2014-15,12953843,Andhra_Pradesh
Manufacturing,2015-16,14170107,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2011-12,1082882,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2012-13,1147835,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2013-14,1275595,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2014-15,1425762,Andhra_Pradesh
"Electricity, gas, water supply & other utility services",2015-16,1502906,Andhra_Pradesh
Construction,2011-12,5033145,Andhra_Pradesh
Construction,2012-13,5233950,Andhra_Pradesh
Construction,2013-14,5940134,Andhra_Pradesh
Construction,2014-15,6104799,Andhra_Pradesh
Construction,2015-16,6586669,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2011-12,6044367,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2012-13,6965384,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2013-14,8309100,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2014-15,8991658,Andhra_Pradesh
"Trade, repair, hotels and restaurants",2015-16,9894203,Andhra_Pradesh
Trade & repair services,2011-12,4957019,Andhra_Pradesh
Trade & repair services,2012-13,5774921,Andhra_Pradesh
Trade & repair services,2013-14,7007816,Andhra_Pradesh
Trade & repair services,2014-15,7523720,Andhra_Pradesh
Trade & repair services,2015-16,8234129,Andhra_Pradesh
